41
0.00, 0.00, 0.00, 100.00, 100.00, 
0.25, 0.19, 1.50, 100.00, 100.00, 
0.50, 0.75, 3.00, 100.00, 100.00, 
0.75, 1.69, 4.50, 100.00, 100.00, 
1.00, 3.00, 6.00, 100.00, 100.00, 
1.25, 4.69, 7.50, 100.00, 100.00, 
1.50, 6.75, 9.00, 100.00, 100.00, 
1.75, 9.19, 10.50, 100.00, 100.00, 
2.00, 12.00, 12.00, 100.00, 100.00, 
2.25, 15.19, 13.50, 100.00, 100.00, 
2.50, 18.75, 15.00, 100.00, 100.00, 
2.75, 22.69, 16.50, 100.00, 100.00, 
3.00, 27.00, 18.00, 100.00, 100.00, 
3.25, 31.69, 19.50, 100.00, 100.00, 
3.50, 36.75, 21.00, 100.00, 100.00, 
3.75, 42.19, 22.50, 100.00, 100.00, 
4.00, 48.00, 24.00, 100.00, 100.00, 
4.25, 54.19, 25.50, 100.00, 100.00, 
4.50, 60.75, 27.00, 100.00, 100.00, 
4.75, 67.69, 28.50, 100.00, 100.00, 
5.00, 75.00, 30.00, 100.00, 100.00, 
5.25, 82.69, 31.50, 100.00, 100.00, 
5.50, 90.75, 33.00, 100.00, 100.00, 
5.75, 99.19, 34.50, 100.00, 100.00, 
6.00, 108.00, 36.00, 100.00, 100.00, 
6.25, 117.19, 37.50, 100.00, 100.00, 
6.50, 126.75, 39.00, 100.00, 100.00, 
6.75, 136.69, 40.50, 100.00, 100.00, 
7.00, 147.00, 42.00, 100.00, 100.00, 
7.25, 157.69, 43.50, 100.00, 100.00, 
7.50, 168.75, 45.00, 100.00, 100.00, 
7.75, 180.19, 46.50, 100.00, 100.00, 
8.00, 192.00, 48.00, 100.00, 100.00, 
8.25, 204.19, 49.50, 100.00, 100.00, 
8.50, 216.75, 51.00, 100.00, 100.00, 
8.75, 229.69, 52.50, 100.00, 100.00, 
9.00, 243.00, 54.00, 100.00, 100.00, 
9.25, 256.69, 55.50, 100.00, 100.00, 
9.50, 270.75, 57.00, 100.00, 100.00, 
9.75, 285.19, 58.50, 100.00, 100.00, 
10.00, 300.00, 60.00, 100.00, 100.00, 
